code,current,name,name_tv,gender,function,country_code,country_long,birth_date
1532872,TRUE,ALEKSANYAN Artur,Artur ALEKSANYAN,Male,Athlete,ARM,Armenia,10/21/1991
1532873,TRUE,AMOYAN Malkhas,Malkhas AMOYAN,Male,Athlete,ARM,Armenia,1/22/1999
1532874,TRUE,GALSTYAN Slavik,Slavik GALSTYAN,Male,Athlete,ARM,Armenia,12/21/1996
1532944,TRUE,HARUTYUNYAN Arsen,Arsen HARUTYUNYAN,Male,Athlete,ARM,Armenia,11/22/1999
1532945,TRUE,TEVANYAN Vazgen,Vazgen TEVANYAN,Male,Athlete,ARM,Armenia,10/27/1999
1532951,TRUE,ARENAS Lorena,Lorena ARENAS,Female,Athlete,COL,Colombia,9/17/1993
1533112,TRUE,McKENZIE Ashley,Ashley McKENZIE,Male,Athlete,JAM,Jamaica,7/17/1989
1533136,TRUE,BASS BITTAYE Gina Mariam,Gina Mariam BASS BITTAYE,Female,Athlete,GAM,Gambia,5/3/1995
1533176,TRUE,CAMARA Ebrahima,Ebrahima CAMARA,Male,Athlete,GAM,Gambia,9/18/1996
1533188,TRUE,RUEDA SANTOS Lizeth,Lizeth RUEDA SANTOS,Female,Athlete,MEX,Mexico,3/7/1994
1533189,TRUE,TAPIA VIDAL Rosa Maria,Rosa Maria TAPIA VIDAL,Female,Athlete,MEX,Mexico,8/27/1997
1533190,TRUE,GRAJALES Crisanto,Crisanto GRAJALES,Male,Athlete,MEX,Mexico,5/6/1987
1533208,TRUE,MAAROUFOU Hachim,Hachim MAAROUFOU,Male,Athlete,COM,Comoros,2/13/1997
1533209,TRUE,SAADI Maesha,Maesha SAADI,Female,Athlete,COM,Comoros,1/16/2007
1533230,TRUE,DIOSDADO Nuria,Nuria DIOSDADO,Female,Athlete,MEX,Mexico,8/22/1990
1533231,TRUE,JIMENEZ Joana,Joana JIMENEZ,Female,Athlete,MEX,Mexico,8/19/1993
1533232,TRUE,SOBRINO Jessica,Jessica SOBRINO,Female,Athlete,MEX,Mexico,5/26/1994
1533234,TRUE,ALFEREZ Regina,Regina ALFEREZ,Female,Athlete,MEX,Mexico,12/1/1997
1533235,TRUE,ARELLANO Fernanda,Fernanda ARELLANO,Female,Athlete,MEX,Mexico,2/28/2002
1533237,TRUE,TOSCANO Pamela,Pamela TOSCANO,Female,Athlete,MEX,Mexico,1/13/2000
1533239,TRUE,GONZALEZ Itzamary,Itzamary GONZALEZ,Female,Athlete,MEX,Mexico,11/14/2003
1533240,TRUE,RODRIGUEZ Samanta,Samanta RODRIGUEZ,Female,Athlete,MEX,Mexico,12/5/1994
1533243,TRUE,INZUNZA Glenda,Glenda INZUNZA,Female,Alternate Athlete,MEX,Mexico,3/12/2000
1533245,TRUE,SEHEN Sajjad,Sajjad SEHEN,Male,Athlete,IRQ,Iraq,3/8/1996
1533359,TRUE,RUBAIAWI Ali Ammar Yusur,Ali Ammar Yusur RUBAIAWI,Male,Athlete,IRQ,Iraq,8/2/2004
1533364,TRUE,ISMAIL Mohamed,Mohamed ISMAIL,Male,Athlete,DJI,Djibouti,1/1/1997
1533371,TRUE,HASSAN Ibrahim,Ibrahim HASSAN,Male,Athlete,DJI,Djibouti,1/1/1997
1533372,TRUE,WAISS Abdi,Abdi WAISS,Male,Athlete,DJI,Djibouti,7/3/1996
1533374,TRUE,HASSAN NOUR Samiyah,Samiyah HASSAN NOUR,Female,Athlete,DJI,Djibouti,12/5/1999
1533378,TRUE,HOUSSEIN BARKAT Houmed,Houmed HOUSSEIN BARKAT,Male,Athlete,DJI,Djibouti,4/4/2004
1535180,TRUE,BARAT Andy,Andy BARAT,Male,Athlete,COM,Comoros,11/29/1997
1535186,TRUE,MARTINEZ RAMIREZ Miguel Angel,Miguel Angel MARTINEZ RAMIREZ,Male,Athlete,MEX,Mexico,3/17/2001
1535187,TRUE,VERDE ALVAREZ Marco Alonso,Marco Alonso VERDE ALVAREZ,Male,Athlete,MEX,Mexico,2/11/2002
1535191,TRUE,GONZALEZ Alegna,Alegna GONZALEZ,Female,Athlete,MEX,Mexico,1/2/1999
1535195,TRUE,LOPEZ Jesus Tonatiu,Jesus Tonatiu LOPEZ,Male,Athlete,MEX,Mexico,8/2/1997
1535199,TRUE,PORTILLO Erick,Erick PORTILLO,Male,Athlete,MEX,Mexico,10/5/2000
1535201,TRUE,MUNOZ Uziel,Uziel MUNOZ,Male,Athlete,MEX,Mexico,9/8/1995
1535202,TRUE,del REAL Diego,Diego del REAL,Male,Athlete,MEX,Mexico,3/6/1994
1535203,TRUE,DOCTOR Jose Luis,Jose Luis DOCTOR,Male,Athlete,MEX,Mexico,6/14/1996
1535212,TRUE,MORAN Paola,Paola MORAN,Female,Athlete,MEX,Mexico,2/25/1997
1535214,TRUE,GALVAN Laura,Laura GALVAN,Female,Athlete,MEX,Mexico,10/5/1991
1535216,TRUE,CORTES Alma Delia,Alma Delia CORTES,Female,Athlete,MEX,Mexico,12/26/1997
1535217,TRUE,CRISTIAN MOSCOTE Citlali,Citlali CRISTIAN MOSCOTE,Female,Athlete,MEX,Mexico,4/15/1995
1535222,TRUE,PALMA OLIVARES Ever Jair,Ever Jair PALMA OLIVARES,Male,Athlete,MEX,Mexico,3/18/1992
1535225,TRUE,OETLING RAMIREZ Elena,Elena OETLING RAMIREZ,Female,Athlete,MEX,Mexico,4/18/1993
1535226,TRUE,AGUILAR CHAVEZ PEON Mariana,Mariana AGUILAR CHAVEZ PEON,Female,Athlete,MEX,Mexico,3/12/1999
1535252,TRUE,LECHUGA ALANIS Kenia,Kenia LECHUGA ALANIS,Female,Athlete,MEX,Mexico,6/26/1994
1535260,TRUE,LOPEZ GARCIA Alexis,Alexis LOPEZ GARCIA,Male,Athlete,MEX,Mexico,5/1/1997
